ID;XX;YY;DEMAND
1;34.41559856;9.411758213;1
2;65.65349349;11.38231736;4
3;80.27964981;39.51974601;2
4;16.76881556;76.35740206;2
5;22.71138815;35.61972814;4
6;85.34589598;57.58224158;2
7;30.6559828;45.54982268;3
8;58.12181505;13.83839956;4
9;75.52683083;42.52961005;4
10;84.13699123;8.73738831;4
11;57.53364604;83.33430992;3
12;15.52751158;54.45740907;3
13;17.07816876;56.60782777;2
14;0;7.013839408;4
15;37.48169948;19.2345105;1
16;78.06222042;89.07743844;1
17;55.01197982;17.2082766;4
18;58.8107624;6.13231585;4
19;87.68639718;42.58399499;2
20;15.45336629;19.95404565;3
21;35.7062342;57.39718699;1
22;10.8962272;95.64954075;1
23;80.38464881;12.45770707;3
24;83.57718431;12.01023761;3
25;16.72936035;0;1
26;24.59007134;58.27100403;4
27;1.581224946;29.49510189;1
28;0.824990877;21.39713751;4
29;4.558890636;8.074619209;2
30;91.95302017;1.301953607;4
31;41.08064811;14.586683;4
32;47.8474074;21.47823807;2
33;20.33585483;17.72262855;2
34;39.91977326;37.00462702;2
35;51.86600615;20.16898873;4
36;58.31590801;23.79586928;2
37;52.2489024;77.1207905;2
38;14.95478624;11.74408134;4
39;51.94508525;54.7348789;3
40;79.00821811;65.82237493;3
41;29.49025743;53.44498419;1
42;50.08138522;9.723446901;4
43;25.68187601;13.42767086;4
44;21.43707005;48.7378822;4
45;82.52595338;22.86137489;1
46;84.96620182;74.17793664;4
47;17.65065114;66.47400862;2
48;53.13186036;81.72446332;2
49;16.67353541;58.86821885;3
50;71.35923999;24.64750675;2
51;38.93242507;24.62647769;3
52;49.78206615;6.462231757;1
53;59.15438781;11.04931584;2
54;61.55652734;81.35218166;2
55;40.93040866;35.49340362;3
56;73.71549574;23.2814895;1
57;29.95549888;51.7811803;1
58;39.31411934;0;1
59;10.69427168;96.10594791;3
60;33.23203411;71.87694604;2
61;77.7763127;15.40449605;2
62;33.69886842;99.55722567;3
63;40.8840892;39.93590518;4
64;4.185635034;51.71257979;4
65;67.68118543;55.80737016;3
66;0;66.80399919;4
67;45.45959757;46.50230235;2
68;54.04549173;79.94770997;4
69;80.403756;62.44564308;1
70;34.80062968;97.08570425;1
71;24.4522715;64.91266737;3
72;1.1736206;3.947961741;4
73;64.92182092;28.16402206;3
74;37.09403244;63.75789616;3
75;74.3932106;29.53383542;4
76;89.52264889;55.75848479;3
77;0;76.58995906;2
78;87.7138527;78.25141202;2
79;27.15781679;75.48430748;3
80;8.140556307;9.632188004;1
81;84.60911282;44.19230816;3
82;52.02905511;58.81763049;3
83;35.80417778;50.46472355;1
84;91.59221277;34.45353028;3
85;24.02662438;8.631121728;4
86;39.14498373;0.795944032;1
